,,MAE,RMSE,Bias,r,R2,N
Temperature (°C),inst,0.15574980574980563,0.18105826258075347,0.010761460761460978,0.9991673484122788,0.998335390133224,286.0
Temperature (°C),avg,0.3599630301808162,0.518793827337211,0.005171607178866934,0.9931088848757178,0.9862652572190922,285.0
Relative Humidity (%),inst,0.35244755244755227,0.4945153734166962,-0.017482517482517494,0.9995897370535993,0.9991796424228843,286.0
Relative Humidity (%),avg,1.29389836660617,2.006938705941615,-0.007091349062311318,0.9932306058347522,0.9865070363668673,285.0
Solar Radiation (W/m²),inst,39.32937062937063,87.4203305633432,0.11818181818181782,0.9507221491381654,0.9038726048618922,286.0
Solar Radiation (W/m²),avg,4.390631578947371,11.655652255994543,0.5063508771929818,0.9990904792248776,0.9981817856777945,285.0
UV Index (UVI),inst,0.3332167832167833,0.7420676085535169,0.040209790209790194,0.9744534313424158,0.9495594898550076,286.0
UV Index (UVI),avg,0.05644444444444443,0.10725241219677663,0.052397660818713415,0.9998047354655148,0.9996095090592702,285.0
